Symbol,MarketCap,Price,Circulating Supply,Volume24h,percent_1H,percent_24H,percent_7D,Date
DOGE,832760533.62,0.007373,112951606375,11672927.0,-1.08,2.37,-11.62,20180127
BTC,198390717461.43,11786.35,16832250,8350359040.0,-0.26,2.39,1.83,20180128
ETH,121201215540.25,1246.01,97271786,5372330496.0,-0.31,11.69,18.72,20180128
XRP,54219480887.89,1.3996,38739142811,1327358208.0,-0.5,13.9,0.82,20180128
ADA,17378564759.79,0.6703,25927070538,325145792.0,0.2,7.14,10.37,20180128
LTC,10656048011.33,193.87,54966283,363514880.0,-0.05,6.66,1.58,20180128
USDT,2252553913.04,0.9888,2278090824,2546636288.0,0.24,-0.93,-1.92,20180128
BNB,1340673257.43,13.54,99014000,93871056.0,-0.14,1.64,-3.14,20180128
DOGE,843237906.68,0.007465,112965531480,14070697.0,0.16,0.32,4.0,20180128
BTC,190164484284.86,11296.4,16834075,7107359232.0,0.79,-4.34,5.27,20180129
ETH,115034641641.15,1182.36,97292351,3715075840.0,0.93,-5.32,20.13,20180129
XRP,51289512164.88,1.324,38739142811,1073683712.0,0.54,-5.39,3.85,20180129
ADA,16157850791.27,0.6232,25927070538,238317552.0,0.19,-6.51,11.73,20180129
LTC,9988182848.25,181.66,54981708,303560864.0,0.79,-6.11,3.26,20180129
USDT,2267426014.21,0.9953,2278090824,2031162624.0,0.01,0.63,-0.97,20180129
BNB,1263868135.7,12.76,99014000,71294280.0,0.12,-5.94,0.98,20180129
DOGE,787122724.37,0.006967,112979552430,13073124.0,1.02,-6.63,4.71,20180129
BTC,170152030195.86,10106.33,16836187,8637857792.0,-2.46,-10.32,-7.79,20180130
ETH,104234588941.0,1071.13,97312634,4107864832.0,-2.25,-9.19,8.26,20180130
XRP,44106660530.31,1.1386,38739142811,1134644480.0,-3.64,-13.62,-15.86,20180130
ADA,13790933053.43,0.5319,25927070538,359621600.0,-3.65,-14.25,-5.92,20180130
LTC,9089729928.66,165.28,54997383,433226720.0,-2.2,-8.69,-7.53,20180130
USDT,2216772054.77,0.9865,2247140814,3108626176.0,-0.25,-1.11,-1.75,20180130
BNB,1113981342.0,11.25,99014000,59389564.0,-2.92,-11.75,-15.54,20180130
DOGE,680637728.44,0.006024,112993588321,15855855.0,-2.45,-13.27,-10.49,20180130
BTC,172099980884.38,10221.13,16837675,8041159168.0,0.43,0.78,-10.4,20180131
ETH,108848275777.18,1118.31,97333153,3757556224.0,0.52,4.06,5.36,20180131
XRP,45029876515.12,1.1624,38739142811,1264027520.0,2.19,2.44,-14.29,20180131
ADA,13464316749.19,0.5193,25927070538,505903584.0,0.99,-1.07,-18.43,20180131
LTC,8986081367.47,163.35,55010983,363292608.0,0.56,-1.19,-9.97,20180131
USDT,2195576003.71,0.9903,2217140814,2663933696.0,-0.5,-0.03,-1.32,20180131
BNB,1103514474.7,11.15,99014000,50435040.0,1.07,-1.31,-18.83,20180131
DOGE,679199484.29,0.00601,113007557565,14754673.0,0.81,-0.36,-15.99,20180131
BTC,154428631131.61,9170.54,16839637,9959404544.0,0.77,-10.23,-19.53,20180201
ETH,100935037771.63,1036.79,97353712,5261684224.0,1.91,-7.38,-2.8,20180201
XRP,37547548155.16,0.9625,39009215838,1410424576.0,0.01,-16.19,-26.9,20180201
ADA,10932712385.77,0.4217,25927070538,595624128.0,0.15,-19.06,-34.07,20180201
LTC,7830151083.16,142.3,55026683,539879808.0,0.69,-13.02,-21.36,20180201
USDT,2188183030.49,0.9869,2217140814,3498901504.0,0.47,-0.65,-1.34,20180201
BNB,942200962.14,9.5158,99014000,82984160.0,1.78,-14.47,-28.8,20180201
DOGE,568402500.76,0.005029,113021567449,18748704.0,0.78,-16.09,-35.04,20180201
BTC,148725267365.48,8830.75,16841750,12726914048.0,0.38,-2.16,-20.33,20180202
ETH,89174007004.86,915.79,97374342,6713293824.0,0.52,-9.42,-12.81,20180202
XRP,34514731696.98,0.8848,39009215838,3529763328.0,0.09,-5.41,-26.77,20180202
ADA,10125392098.14,0.3905,25927070538,1438805888.0,2.11,-3.74,-36.54,20180202
LTC,7231172378.93,131.38,55040608,815539840.0,0.13,-6.36,-25.26,20180202
USDT,2196625686.17,0.9907,2217140814,4785873408.0,-0.18,0.54,-1.28,20180202
BNB,955712065.0,9.6523,99014000,91468208.0,1.14,5.03,-26.21,20180202
DOGE,505797129.34,0.004475,113035375978,29913692.0,0.76,-9.23,-38.1,20180202
BTC,154540068839.2,9174.91,16843762,7263794688.0,0.89,4.35,-20.65,20180203
ETH,93890344828.59,964.02,97394656,3243482112.0,0.81,5.61,-13.98,20180203
XRP,36046174219.58,0.924,39009215838,1988957824.0,1.09,5.32,-25.72,20180203
ADA,11377737550.88,0.4388,25927070538,1404502528.0,1.41,15.2,-31.22,20180203
LTC,8822776484.44,160.25,55056233,687675584.0,2.92,22.73,-12.15,20180203
USDT,2220053441.19,1.0013,2217140814,2488532224.0,-0.08,0.61,0.5,20180203
BNB,965355055.77,9.7497,99014000,56556180.0,1.4,1.48,-26.91,20180203
DOGE,583800279.52,0.005164,113049276509,18018066.0,-0.05,16.11,-30.77,20180203
BTC,139433744615.04,8277.01,16845900,7073548288.0,-1.43,-9.13,-29.22,20180204
ETH,81310528443.95,834.68,97414970,2997086976.0,-1.47,-12.8,-32.2,20180204
XRP,31819952004.57,0.8157,39009215838,1190962432.0,-3.13,-10.64,-40.08,20180204
ADA,9834219715.37,0.3793,25927070538,814754368.0,-4.5,-12.51,-42.35,20180204
LTC,8151907849.49,148.02,55071158,1006084864.0,-2.28,-6.3,-22.01,20180204
USDT,2239605049.1,1.0101,2217140814,2504639488.0,0.97,0.92,2.24,20180204
BNB,837524168.43,8.4586,99014000,49990000.0,-1.54,-12.29,-36.98,20180204
